QR_ID,Vendor_Code,Vendor_Name,Lot_Number,Date_of_Manufacture,Warranty_Expiry,Num_Inspections,Inspection_Records,In_Service_Failure,Failure_Date,Track_Section
QR0001,V001,Tata Steel,LOT1409,2025-03-13,2028-03-13,3,"[{'date': datetime.date(2025, 6, 23), 'result': 'Pass', 'wear': np.float64(19.97)}, {'date': datetime.date(2025, 4, 12), 'result': 'Pass', 'wear': np.float64(13.62)}, {'date': datetime.date(2025, 7, 18), 'result': 'Pass', 'wear': np.float64(21.48)}]",No,,Heavy Load Zone
QR0002,V005,Reliance Infra,LOT7912,2025-08-24,2026-08-24,2,"[{'date': datetime.date(2025, 8, 30), 'result': 'Pass', 'wear': np.float64(30.23)}, {'date': datetime.date(2025, 9, 2), 'result': 'Pass', 'wear': np.float64(12.66)}]",No,,Plain
QR0003,V002,Jindal Rail Infra,LOT9928,2024-08-29,2029-08-29,3,"[{'date': datetime.date(2024, 10, 9), 'result': 'Pass', 'wear': np.float64(12.66)}, {'date': datetime.date(2025, 3, 10), 'result': 'Pass', 'wear': np.float64(30.79)}, {'date': datetime.date(2025, 3, 8), 'result': 'Pass', 'wear': np.float64(22.67)}]",No,,Coastal Area
QR0004,V004,Bharat Forge,LOT6574,2024-07-02,2027-07-02,3,"[{'date': datetime.date(2025, 2, 25), 'result': 'Pass', 'wear': np.float64(10.31)}, {'date': datetime.date(2024, 8, 29), 'result': 'Pass', 'wear': np.float64(20.43)}, {'date': datetime.date(2025, 8, 22), 'result': 'Pass', 'wear': np.float64(10.37)}]",No,,Hilly Terrain
QR0005,V003,SAIL,LOT5333,2024-05-11,2025-05-11,5,"[{'date': datetime.date(2024, 11, 25), 'result': 'Pass', 'wear': np.float64(10.34)}, {'date': datetime.date(2024, 9, 28), 'result': 'Fail', 'wear': np.float64(17.42)}, {'date': datetime.date(2024, 5, 23), 'result': 'Pass', 'wear': np.float64(0.0)}, {'date': datetime.date(2024, 10, 22), 'result': 'Pass', 'wear': np.float64(0.0)}, {'date': datetime.date(2024, 5, 19), 'result': 'Pass', 'wear': np.float64(9.38)}]",No,,Hilly Terrain
QR0006,V005,Reliance Infra,LOT4150,2024-02-23,2025-02-23,2,"[{'date': datetime.date(2025, 3, 8), 'result': 'Pass', 'wear': np.float64(4.87)}, {'date': datetime.date(2025, 3, 28), 'result': 'Pass', 'wear': np.float64(18.14)}]",No,,Coastal Area
QR0007,V001,Tata Steel,LOT7227,2024-08-22,2027-08-22,5,"[{'date': datetime.date(2025, 7, 24), 'result': 'Pass', 'wear': np.float64(5.92)}, {'date': datetime.date(2024, 12, 18), 'result': 'Pass', 'wear': np.float64(0.88)}, {'date': datetime.date(2024, 9, 24), 'result': 'Pass', 'wear': np.float64(29.66)}, {'date': datetime.date(2024, 12, 1), 'result': 'Pass', 'wear': np.float64(12.74)}, {'date': datetime.date(2024, 10, 15), 'result': 'Pass', 'wear': np.float64(15.68)}]",No,,Heavy Load Zone
QR0008,V005,Reliance Infra,LOT3803,2024-08-01,2026-08-01,3,"[{'date': datetime.date(2025, 2, 23), 'result': 'Pass', 'wear': np.float64(0.75)}, {'date': datetime.date(2024, 10, 15), 'result': 'Pass', 'wear': np.float64(9.56)}, {'date': datetime.date(2025, 8, 31), 'result': 'Fail', 'wear': np.float64(16.11)}]",No,,Coastal Area
QR0009,V003,SAIL,LOT1916,2025-03-03,2027-03-03,2,"[{'date': datetime.date(2025, 8, 25), 'result': 'Pass', 'wear': np.float64(3.49)}, {'date': datetime.date(2025, 5, 17), 'result': 'Pass', 'wear': np.float64(18.76)}]",No,,Plain
QR0010,V003,SAIL,LOT4483,2025-06-29,2030-06-29,5,"[{'date': datetime.date(2025, 8, 11), 'result': 'Pass', 'wear': np.float64(8.99)}, {'date': datetime.date(2025, 9, 4), 'result': 'Pass', 'wear': np.float64(12.08)}, {'date': datetime.date(2025, 8, 31), 'result': 'Pass', 'wear': np.float64(8.98)}, {'date': datetime.date(2025, 7, 4), 'result': 'Pass', 'wear': np.float64(33.52)}, {'date': datetime.date(2025, 8, 12), 'result': 'Pass', 'wear': np.float64(14.87)}]",No,,Plain
